,0
1061,0
1062,0
1063,1
1064,0
1065,1
1066,0
1067,0
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,1
1076,1
1077,1
1078,0
1079,1
1080,0
1081,0
1082,0
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,0
1098,1
1099,1
1100,0
1101,1
1102,1
1103,0
1104,0
1105,0
1106,1
1107,1
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,0
1118,0
1119,0
1120,1
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,0
1138,0
1139,0
1140,0
1141,1
1142,1
1143,1
1144,0
1145,0
1146,1
1147,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,1
1154,1
1155,0
1156,0
1157,1
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,0
1172,1
1173,0
1174,0
1175,0
1176,0
1177,0
1178,1
1179,1
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,1
1189,0
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,0
1203,1
1204,0
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,0
1215,1
1216,1
1217,0
1218,1
1219,0
1220,0
1221,0
1222,0
1223,1
1224,1
1225,0
1226,1
1227,1
1228,1
1229,0
1230,0
1231,0
1232,0
1233,1
1234,0
1235,0
1236,1
1237,1
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,1
1247,1
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,1
1255,0
1256,0
1257,0
1258,1
1259,0
1260,0
1261,1
1262,1
1263,1
1264,0
1265,1
1266,1
1267,0
1268,0
1269,0
1270,1
1271,0
1272,0
1273,0
1274,0
1275,1
1276,1
1277,1
1278,1
1279,1
1280,0
1281,1
1282,0
1283,1
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,1
1291,1
1292,1
1293,1
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,1
1301,0
1302,0
1303,1
1304,1
1305,0
1306,1
1307,1
1308,1
1309,0
1310,0
1311,1
1312,0
1313,0
1314,1
1315,1
1316,0
1317,1
1318,1
1319,1
1320,0
1321,1
1322,0
1323,0
1324,0
1325,1
1326,1
1327,0
1328,1
1329,0
1330,0
1331,0
1332,1
1333,1
1334,0
1335,0
1336,0
1337,1
1338,0
1339,0
1340,1
1341,0
1342,1
1343,1
1344,1
1345,1
1346,1
1347,0
1348,0
1349,1
1350,1
1351,0
1352,1
1353,0
1354,0
1355,0
1356,1
1357,0
1358,1
1359,1
1360,1
1361,0
1362,1
1363,0
1364,1
1365,0
1366,1
1367,0
1368,0
1369,0
1370,1
1371,0
1372,0
1373,0
1374,0
1375,1
1376,1
1377,0
1378,0
1379,0
1380,1
1381,1
1382,0
1383,0
1384,0
1385,1
1386,1
1387,1
1388,1
1389,1
1390,0
1391,1
1392,0
1393,1
1394,0
1395,0
1396,1
1397,1
1398,1
1399,1
1400,0
1401,0
1402,1
1403,0
1404,1
1405,0
1406,0
1407,1
1408,0
1409,1
1410,1
1411,0
1412,0
1413,0
1414,1
1415,0
1416,0
1417,1
1418,0
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,0
1426,1
1427,0
1428,0
1429,0
1430,1
1431,0
1432,0
1433,0
1434,0
1435,0
1436,1
1437,1
1438,0
1439,0
1440,1
1441,1
1442,1
1443,0
1444,1
1445,0
1446,0
1447,1
1448,0
1449,0
1450,0
1451,0
1452,0
1453,1
1454,0
1455,0
1456,1
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,1
1464,0
1465,0
1466,1
1467,1
1468,1
1469,0
1470,0
1471,1
1472,0
1473,1
1474,1
1475,0
1476,0
1477,1
1478,0
1479,0
1480,0
1481,1
1482,1
1483,1
1484,1
1485,0
1486,0
1487,1
1488,1
1489,1
1490,0
1491,1
1492,1
1493,0
1494,1
1495,0
1496,1
1497,0
1498,0
1499,0
1500,0
1501,1
1502,0
1503,0
1504,0
1505,0
1506,0
1507,1
1508,1
1509,1
1510,0
1511,0
1512,0
1513,1
1514,1
1515,1
1516,0
1517,0
1518,1
1519,1
1520,1
1521,0
1522,0
1523,0
1524,1
1525,0
1526,0
1527,0
1528,1
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,1
1537,0
1538,0
1539,0
1540,1
1541,0
1542,1
1543,0
1544,0
1545,1
1546,0
1547,1
1548,1
1549,1
1550,0
1551,1
1552,0
1553,0
1554,1
1555,1
1556,1
1557,1
1558,1
1559,0
1560,0
1561,0
1562,1
1563,0
1564,0
1565,0
1566,0
1567,1
1568,0
1569,1
1570,0
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,0
1581,0
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,0
1589,0
1590,0
1591,1
1592,1
1593,0
1594,1
1595,1
1596,0
1597,0
1598,0
1599,1
1600,0
1601,1
1602,0
1603,1
1604,1
1605,0
1606,0
1607,0
1608,1
1609,0
1610,1
1611,0
1612,0
1613,1
1614,1
1615,0
1616,0
1617,1
1618,1
1619,0
1620,0
1621,0
1622,1
1623,0
1624,1
1625,1
1626,0
1627,1
1628,1
1629,1
1630,0
1631,0
1632,0
1633,0
1634,0
1635,1
1636,1
1637,0
1638,0
1639,0
1640,1
1641,0
1642,1
1643,1
1644,1
1645,0
1646,0
1647,1
1648,1
1649,0
1650,0
1651,1
1652,0
1653,1
1654,0
1655,0
1656,0
1657,0
1658,0
1659,1
1660,0
1661,0
1662,1
1663,1
1664,1
1665,1
1666,1
1667,0
1668,1
1669,0
1670,1
1671,0
1672,0
1673,0
1674,0
1675,0
1676,1
1677,0
1678,0
1679,0
1680,1
1681,1
1682,1
1683,0
1684,1
1685,0
1686,1
1687,1
1688,1
1689,0
1690,0
1691,1
1692,1
1693,1
1694,1
1695,1
1696,0
1697,0
1698,0
1699,1
1700,1
1701,0
1702,0
1703,1
1704,0
1705,0
1706,0
1707,1
1708,1
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,1
1718,1
1719,0
1720,0
1721,1
1722,0
1723,0
1724,1
1725,0
1726,0
1727,0
1728,1
1729,0
1730,0
1731,1
1732,0
1733,1
1734,0
1735,0
1736,0
1737,0
1738,1
1739,0
1740,0
1741,0
1742,0
1743,1
1744,0
1745,0
1746,1
1747,1
1748,0
1749,1
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,1
1760,0
1761,0
1762,0
1763,1
1764,0
1765,0
1766,1
1767,1
1768,1
1769,0
1770,0
1771,0
1772,1
1773,0
1774,1
1775,0
1776,1
1777,0
1778,1
1779,1
1780,0
1781,1
1782,0
1783,1
1784,0
1785,0
1786,0
1787,0
1788,1
1789,0
1790,0
1791,0
1792,0
1793,1
1794,0
1795,1
1796,0
1797,1
1798,1
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,1
1807,0
1808,0
1809,1
1810,1
1811,0
1812,1
1813,0
1814,0
1815,0
1816,0
1817,1
1818,0
1819,1
1820,1
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,1
1828,0
1829,0
1830,1
1831,0
1832,0
1833,0
1834,1
1835,0
1836,1
1837,0
1838,0
1839,0
1840,0
1841,1
1842,0
1843,0
1844,1
1845,0
1846,0
1847,0
1848,0
1849,0
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,0
1857,1
1858,1
1859,1
1860,0
1861,1
1862,1
1863,0
1864,1
1865,1
1866,0
1867,1
1868,1
1869,1
1870,0
1871,1
1872,1
1873,1
1874,0
1875,1
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,1
1884,1
1885,1
1886,0
1887,1
1888,0
1889,0
1890,1
1891,1
1892,0
1893,1
1894,0
1895,0
1896,0
1897,1
1898,0
1899,1
1900,0
1901,1
1902,0
1903,0
1904,0
1905,1
1906,1
1907,1
1908,1
1909,0
1910,1
1911,0
1912,0
1913,1
1914,1
1915,0
1916,1
1917,0
1918,1
1919,1
1920,1
1921,0
1922,0
1923,0
1924,1
1925,1
1926,1
1927,1
1928,0
1929,1
1930,1
1931,0
1932,1
1933,1
1934,0
1935,1
1936,1
1937,0
1938,1
1939,0
1940,1
1941,1
1942,1
1943,1
1944,0
1945,0
1946,1
1947,1
1948,1
1949,0
1950,1
1951,0
1952,1
1953,0
1954,1
1955,0
1956,1
1957,0
1958,0
1959,1
1960,1
1961,1
1962,0
1963,1
1964,1
1965,0
1966,0
1967,0
1968,0
1969,1
1970,0
1971,1
1972,0
1973,0
1974,1
1975,1
1976,1
1977,1
1978,1
1979,0
1980,0
1981,0
1982,0
1983,1
1984,0
1985,0
1986,0
1987,1
1988,1
1989,0
1990,1
1991,0
1992,1
1993,0
1994,0
1995,1
1996,1
1997,0
1998,1
1999,1
2000,1
2001,0
2002,0
2003,1
2004,1
2005,1
2006,0
2007,1
2008,1
2009,0
2010,1
2011,0
2012,1
2013,1
2014,0
2015,0
2016,1
2017,1
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,1
2026,0
2027,0
2028,0
2029,0
2030,1
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,1
2039,1
2040,0
2041,0
2042,0
2043,1
2044,1
2045,1
2046,1
2047,0
2048,0
2049,0
2050,0
2051,0
2052,1
2053,0
2054,0
2055,0
2056,1
2057,1
2058,0
2059,0
2060,0
2061,0
2062,1
2063,1
2064,0
2065,0
2066,0
2067,0
2068,0
2069,1
2070,0
2071,1
2072,1
2073,0
2074,1
2075,0
2076,0
2077,0
2078,1
2079,0
2080,1
2081,1
2082,0
2083,0
2084,0
2085,1
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,1
2093,1
2094,0
2095,1
2096,0
2097,1
2098,0
2099,0
2100,0
2101,0
2102,1
2103,1
2104,0
2105,1
2106,0
2107,1
2108,1
2109,0
2110,0
2111,1
2112,0
2113,0
2114,1
2115,1
2116,1
2117,1
2118,1
2119,0
2120,1
2121,0
2122,1
2123,1
2124,0
2125,0
2126,1
2127,1
2128,1
2129,1
2130,1
2131,0
2132,1
2133,0
2134,0
2135,1
2136,0
2137,1
2138,0
2139,0
2140,1
2141,1
2142,0
2143,1
2144,1
2145,1
2146,0
2147,1
2148,1
2149,0
2150,1
2151,0
2152,0
2153,0
2154,0
2155,0
2156,1
2157,1
2158,1
2159,0
2160,1
2161,1
2162,0
2163,1
2164,0
2165,0
2166,1
2167,0
2168,1
2169,1
2170,0
2171,0
2172,0
2173,1
2174,0
2175,1
2176,1
2177,0
2178,1
2179,0
2180,0
2181,0
2182,0
2183,0
2184,1
2185,1
2186,0
2187,1
2188,0
2189,0
2190,0
2191,1
2192,0
2193,0
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,0
2201,0
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,0
2209,0
2210,1
2211,0
2212,1
2213,0
2214,0
2215,0
2216,1
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,1
2225,0
2226,0
2227,0
2228,1
2229,0
2230,1
2231,1
2232,1
2233,0
2234,0
2235,0
2236,0
2237,0
2238,1
2239,0
2240,1
2241,1
2242,0
2243,0
2244,0
2245,1
2246,1
2247,0
2248,1
2249,1
2250,0
2251,0
2252,1
2253,0
2254,1
2255,0
2256,1
2257,1
2258,0
2259,0
2260,0
2261,1
2262,0
2263,0
2264,1
2265,0
2266,0
2267,0
2268,1
2269,0
2270,0
2271,1
2272,0
2273,1
2274,1
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,1
2283,1
2284,0
2285,0
2286,1
2287,0
2288,0
2289,1
2290,0
2291,0
2292,1
2293,1
2294,0
2295,1
2296,0
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2304,0
2305,0
2306,0
2307,1
2308,1
2309,0
2310,0
2311,0
2312,0
2313,1
2314,1
2315,0
2316,1
2317,1
2318,0
2319,0
2320,1
2321,0
2322,1
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,1
2334,0
2335,0
2336,0
2337,0
2338,1
2339,0
2340,0
2341,1
2342,0
2343,1
2344,0
2345,0
2346,0
2347,1
2348,1
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,1
2357,0
2358,1
2359,1
2360,1
2361,0
2362,1
2363,0
2364,0
2365,0
2366,1
2367,0
2368,1
2369,0
2370,0
2371,0
2372,1
2373,0
2374,0
2375,0
2376,1
2377,0
2378,1
2379,0
2380,1
2381,1
2382,0
2383,1
2384,0
2385,0
2386,0
2387,0
2388,1
2389,1
2390,1
2391,1
2392,0
2393,0
2394,0
2395,1
2396,0
2397,0
2398,1
2399,0
2400,0
2401,1
2402,0
2403,0
2404,0
2405,1
2406,1
2407,1
2408,1
2409,0
2410,1
2411,0
2412,0
2413,0
2414,1
2415,0
2416,1
2417,0
2418,0
2419,1
2420,1
2421,0
2422,0
2423,1
2424,1
2425,1
2426,0
2427,1
2428,0
2429,1
2430,0
2431,0
2432,1
2433,1
2434,0
2435,0
2436,0
2437,1
2438,1
2439,0
2440,0
2441,1
2442,1
2443,0
2444,0
2445,0
2446,0
2447,0
2448,1
2449,1
2450,0
2451,0
2452,0
2453,1
2454,1
2455,0
2456,0
2457,0
2458,1
2459,0
2460,0
2461,0
2462,1
2463,1
2464,0
2465,1
2466,0
2467,1
2468,0
2469,1
2470,1
2471,1
2472,1
2473,1
2474,0
2475,0
2476,0
2477,0
2478,1
2479,1
2480,0
2481,0
2482,1
2483,0
2484,1
2485,0
2486,1
2487,1
2488,1
2489,0
2490,1
2491,1
2492,1
2493,1
2494,0
2495,0
2496,0
2497,0
2498,1
2499,0
2500,1
2501,1
2502,0
2503,1
2504,0
2505,1
2506,1
2507,0
2508,0
2509,0
2510,0
2511,0
2512,1
2513,1
2514,0
2515,0
2516,0
2517,0
2518,1
2519,0
2520,0
2521,0
2522,0
2523,1
2524,0
2525,0
2526,1
2527,1
2528,1
2529,0
2530,1
2531,0
2532,0
2533,0
2534,1
2535,1
2536,1
2537,0
2538,0
2539,0
2540,1
2541,1
2542,1
2543,1
2544,0
2545,1
2546,1
2547,0
2548,0
2549,0
2550,1
2551,0
2552,1
2553,1
2554,0
2555,0
2556,0
2557,0
2558,0
2559,1
2560,0
2561,0
2562,0
2563,1
2564,0
2565,1
2566,0
2567,1
2568,1
2569,0
2570,1
2571,0
2572,0
2573,0
2574,0
2575,1
2576,0
2577,1
2578,0
2579,1
2580,0
2581,0
2582,1
2583,0
2584,0
2585,1
2586,0
2587,0
2588,1
2589,0
2590,1
2591,0
2592,0
2593,1
2594,0
2595,1
2596,0
2597,0
2598,0
2599,1
2600,0
2601,0
2602,1
2603,0
2604,1
2605,0
2606,1
2607,1
2608,1
2609,1
2610,1
2611,0
2612,1
2613,1
2614,0
2615,0
2616,1
2617,0
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,1
2628,1
2629,1
2630,0
2631,0
2632,0
2633,1
2634,0
2635,0
2636,0
2637,1
2638,0
2639,0
2640,1
2641,0
2642,1
2643,0
2644,0
2645,0
2646,1
2647,1
2648,0
2649,0
2650,0
2651,0
2652,1
2653,0
2654,1
2655,1
2656,0
2657,0
2658,1
2659,0
2660,1
2661,0
2662,1
2663,1
2664,0
2665,1
2666,1
2667,1
2668,1
2669,0
2670,0
2671,0
2672,1
2673,0
2674,1
2675,1
2676,0
2677,1
2678,1
2679,0
2680,0
2681,1
2682,0
2683,0
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2691,1
2692,1
2693,0
2694,1
2695,1
2696,0
2697,1
2698,0
2699,1
2700,0
2701,1
2702,1
2703,0
2704,0
2705,0
2706,0
2707,1
2708,0
2709,0
2710,1
2711,0
2712,1
2713,1
2714,1
2715,1
2716,1
2717,0
2718,0
2719,0
2720,1
2721,0
2722,0
2723,0
2724,1
2725,0
2726,1
2727,0
2728,1
2729,0
2730,1
2731,0
2732,0
2733,1
2734,1
2735,1
2736,1
2737,0
2738,1
2739,1
2740,0
2741,1
2742,1
2743,1
2744,0
2745,0
2746,0
2747,0
2748,0
2749,1
2750,0
2751,1
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,1
2759,0
2760,0
2761,1
2762,0
2763,1
2764,1
2765,0
2766,1
2767,0
2768,0
2769,1
2770,1
2771,1
2772,0
2773,0
2774,0
2775,1
2776,0
2777,1
2778,0
2779,1
2780,0
2781,1
2782,0
2783,1
2784,0
2785,0
2786,0
2787,0
2788,1
2789,0
2790,1
2791,0
2792,0
2793,1
2794,0
2795,0
2796,1
2797,1
2798,0
2799,1
2800,1
2801,1
2802,0
2803,0
2804,0
2805,0
2806,0
2807,0
2808,1
2809,1
2810,0
2811,0
2812,0
2813,0
2814,0
2815,0
2816,1
2817,1
2818,0
2819,0
2820,1
2821,0
2822,0
2823,0
2824,1
2825,1
2826,0
2827,1
2828,1
2829,1
2830,0
2831,0
2832,0
2833,1
2834,1
2835,0
2836,0
2837,1
2838,0
2839,1
2840,0
2841,0
2842,0
2843,1
2844,0
2845,1
2846,0
2847,0
2848,0
2849,0
2850,1
2851,1
2852,1
2853,1
2854,0
2855,1
2856,0
2857,0
2858,0
2859,0
2860,0
2861,1
2862,0
2863,1
2864,1
2865,1
2866,0
2867,0
2868,1
2869,0
2870,1
2871,0
2872,0
2873,0
2874,1
2875,1
2876,1
2877,1
2878,0
2879,1
2880,0
2881,1
2882,1
2883,1
2884,0
2885,1
2886,1
2887,0
2888,1
2889,0
2890,0
2891,1
2892,1
2893,1
2894,0
2895,1
2896,0
2897,1
2898,0
2899,0
2900,1
2901,0
2902,1
2903,0
2904,1
2905,0
2906,0
2907,1
2908,1
2909,0
2910,0
2911,0
2912,1
2913,0
2914,1
2915,1
2916,0
2917,0
2918,1
2919,0
2920,1
2921,1
2922,1
2923,0
2924,0
2925,0
2926,1
2927,0
2928,1
2929,1
2930,0
2931,1
2932,0
2933,0
2934,1
2935,0
2936,0
2937,1
2938,1
2939,1
2940,0
2941,1
2942,0
2943,1
2944,1
2945,0
2946,1
2947,1
2948,0
2949,0
2950,0
2951,0
2952,0
2953,0
2954,0
2955,0
2956,1
2957,1
2958,1
2959,0
2960,1
2961,0
2962,1
2963,0
2964,0
2965,0
2966,1
2967,0
2968,1
2969,0
2970,1
2971,1
2972,0
2973,1
2974,0
2975,0
2976,0
2977,0
2978,1
2979,0
2980,0
2981,0
2982,1
2983,1
2984,1
2985,1
2986,0
2987,0
2988,1
2989,1
2990,0
2991,1
2992,0
2993,0
2994,0
2995,0
2996,1
2997,0
